customer_id,account_status,last_transaction_date,wallet_status,dormant_handling_status,dormancy_flag,required_action
CUST100012,DORMANT,2026-05-18,OPENED,COMPLETED,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100025,DORMANT,2026-02-12,OPENED,COMPLETED,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100043,DORMANT,2026-06-26,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100050,DORMANT,2026-03-10,REVIEW,COMPLETED,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100057,DORMANT,2026-05-05,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100060,DORMANT,2026-01-24,REVIEW,COMPLETED,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100061,DORMANT,2026-01-02,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100068,DORMANT,2026-03-06,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100085,DORMANT,2026-03-08,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100108,DORMANT,2026-04-24,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100120,DORMANT,2026-04-28,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100124,DORMANT,2026-07-10,PENDING,COMPLETED,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100170,DORMANT,2026-01-17,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100172,DORMANT,2026-04-19,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100177,DORMANT,2026-07-16,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100184,DORMANT,2026-06-25,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100218,DORMANT,2026-05-25,REVIEW,COMPLETED,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100222,DORMANT,2026-03-30,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
CUST100230,DORMANT,2026-01-06,OPENED,PENDING,DORMANT,REVIEW_BEFORE_ACTIVATION
