customer_id,screening_status,screening_date,screening_reference,screening_evidence_present
CUST100000,CLEAR,2026-08-01,SCR-CUST100000,True
CUST100001,CLEAR,2026-08-01,SCR-CUST100001,True
CUST100002,CLEAR,2026-08-01,SCR-CUST100002,True
CUST100003,CLEAR,2026-08-01,SCR-CUST100003,True
CUST100004,CLEAR,2026-08-01,SCR-CUST100004,True
CUST100005,HIGH_RISK,2026-08-01,SCR-CUST100005,True
CUST100006,CLEAR,2026-08-01,SCR-CUST100006,True
CUST100007,CLEAR,2026-08-01,SCR-CUST100007,True
CUST100008,CLEAR,2026-08-01,SCR-CUST100008,True
CUST100009,CLEAR,2026-08-01,SCR-CUST100009,True
CUST100010,CLEAR,2026-08-01,SCR-CUST100010,True
CUST100011,HIGH_RISK,2026-08-01,SCR-CUST100011,True
CUST100012,CLEAR,2026-08-01,SCR-CUST100012,True
CUST100013,CLEAR,2026-08-01,SCR-CUST100013,True
CUST100014,CLEAR,2026-08-01,SCR-CUST100014,True
CUST100015,CLEAR,2026-08-01,SCR-CUST100015,True
CUST100016,NO_MATCH,2026-08-01,SCR-CUST100016,True
CUST100017,CLEAR,2026-08-01,SCR-CUST100017,True
CUST100018,CLEAR,2026-08-01,SCR-CUST100018,True
CUST100019,CLEAR,2026-08-01,SCR-CUST100019,True
CUST100020,CLEAR,2026-08-01,SCR-CUST100020,True
CUST100021,CLEAR,2026-08-01,SCR-CUST100021,True
CUST100022,CLEAR,2026-08-01,SCR-CUST100022,True
CUST100023,CLEAR,2026-08-01,SCR-CUST100023,True
CUST100024,CLEAR,2026-08-01,SCR-CUST100024,True
CUST100025,CLEAR,2026-08-01,SCR-CUST100025,True
CUST100026,CLEAR,2026-08-01,SCR-CUST100026,True
CUST100027,PENDING,2026-08-01,SCR-CUST100027,True
CUST100028,CLEAR,2026-08-01,SCR-CUST100028,True
CUST100029,CLEAR,2026-08-01,SCR-CUST100029,True
CUST100030,CLEAR,2026-08-01,SCR-CUST100030,True
CUST100031,CLEAR,2026-08-01,SCR-CUST100031,True
CUST100032,CLEAR,2026-08-01,SCR-CUST100032,True
CUST100033,CLEAR,2026-08-01,SCR-CUST100033,True
CUST100034,NO_MATCH,2026-08-01,SCR-CUST100034,True
CUST100035,CLEAR,2026-08-01,SCR-CUST100035,True
CUST100036,CLEAR,2026-08-01,SCR-CUST100036,True
CUST100037,CLEAR,2026-08-01,SCR-CUST100037,True
CUST100038,CLEAR,2026-08-01,SCR-CUST100038,True
CUST100039,CLEAR,2026-08-01,SCR-CUST100039,True
CUST100040,CLEAR,2026-08-01,SCR-CUST100040,True
CUST100041,NO_MATCH,2026-08-01,SCR-CUST100041,True
CUST100042,CLEAR,2026-08-01,SCR-CUST100042,True
CUST100043,CLEAR,2026-08-01,SCR-CUST100043,True
CUST100044,HIGH_RISK,2026-08-01,SCR-CUST100044,True
CUST100045,NO_MATCH,2026-08-01,SCR-CUST100045,True
CUST100046,CLEAR,2026-08-01,SCR-CUST100046,True
CUST100047,CLEAR,2026-08-01,SCR-CUST100047,True
CUST100048,NO_MATCH,2026-08-01,SCR-CUST100048,True
CUST100049,CLEAR,2026-08-01,SCR-CUST100049,True
CUST100050,HIGH_RISK,2026-08-01,SCR-CUST100050,True
CUST100051,CLEAR,2026-08-01,SCR-CUST100051,True
CUST100052,CLEAR,2026-08-01,SCR-CUST100052,True
CUST100053,CLEAR,2026-08-01,SCR-CUST100053,True
CUST100054,CLEAR,2026-08-01,SCR-CUST100054,True
CUST100055,CLEAR,2026-08-01,SCR-CUST100055,True
CUST100056,CLEAR,2026-08-01,SCR-CUST100056,True
CUST100057,CLEAR,2026-08-01,SCR-CUST100057,True
CUST100058,CLEAR,2026-08-01,SCR-CUST100058,True
CUST100059,CLEAR,2026-08-01,SCR-CUST100059,True
CUST100060,CLEAR,2026-08-01,SCR-CUST100060,True
CUST100061,CLEAR,2026-08-01,SCR-CUST100061,True
CUST100062,CLEAR,2026-08-01,SCR-CUST100062,True
CUST100063,HIGH_RISK,2026-08-01,SCR-CUST100063,True
CUST100064,CLEAR,2026-08-01,SCR-CUST100064,True
CUST100065,CLEAR,2026-08-01,SCR-CUST100065,True
CUST100066,CLEAR,2026-08-01,SCR-CUST100066,True
CUST100067,CLEAR,2026-08-01,SCR-CUST100067,True
CUST100068,CLEAR,2026-08-01,SCR-CUST100068,True
CUST100069,CLEAR,2026-08-01,SCR-CUST100069,True
