customer_id,wallet_status,risk_exception_approved,risk_exception_reference,dormant_handling_status,initialization_date,product_code,initialization_batch
CUST100000,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100001,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100002,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100003,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100004,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100005,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100006,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100007,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100008,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100009,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100010,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100011,REVIEW,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100012,OPENED,False,,COMPLETED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100013,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100014,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100015,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100016,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100017,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100018,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100019,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
CUST100020,OPENED,False,,NOT_REQUIRED,2026-08-05,WALLET-01,BATCH-2026-08-05
